id,company_id,operating_activity,investing_activity,financing_activity,net_cash_flow,year_label,fiscal_year,sort_order,is_ttm,is_half_year,free_cash_flow
39,TCS,19369.0,-1807.0,-17168.0,394.0,Mar 2015,2015,201503,False,False,17562.0
40,TCS,19109.0,-5010.0,-9666.0,4433.0,Mar 2016,2016,201603,False,False,14099.0
41,TCS,25223.0,-16895.0,-11026.0,-2698.0,Mar 2017,2017,201703,False,False,8328.0
42,TCS,25067.0,3104.0,-26885.0,1286.0,Mar 2018,2018,201803,False,False,28171.0
43,TCS,28593.0,1645.0,-27897.0,2341.0,Mar 2019,2019,201903,False,False,30238.0
44,TCS,32369.0,8968.0,-39915.0,1422.0,Mar 2020,2020,202003,False,False,41337.0
45,TCS,38802.0,-7956.0,-32634.0,-1788.0,Mar 2021,2021,202103,False,False,30846.0
46,TCS,39949.0,-738.0,-33581.0,5630.0,Mar 2022,2022,202203,False,False,39211.0
47,TCS,41965.0,548.0,-47878.0,-5365.0,Mar 2023,2023,202303,False,False,42513.0
48,TCS,44338.0,6091.0,-48536.0,1893.0,Mar 2024,2024,202403,False,False,50429.0
61,ABB,101.0,-59.0,-42.0,1.0,Dec 2012,2013,201212,False,False,42.0
62,ABB,155.0,-144.0,-42.0,-31.0,Mar 2014,2014,201403,False,False,11.0
63,ABB,215.0,-187.0,-58.0,-30.0,Mar 2015,2015,201503,False,False,28.0
64,ABB,249.0,-77.0,-80.0,91.0,Mar 2016,2016,201603,False,False,172.0
65,ABB,307.0,-155.0,-90.0,62.0,Mar 2017,2017,201703,False,False,152.0
66,ABB,153.0,-215.0,-102.0,-165.0,Mar 2018,2018,201803,False,False,-62.0
67,ABB,499.0,-257.0,-143.0,99.0,Mar 2019,2019,201903,False,False,242.0
68,ABB,626.0,-401.0,-217.0,8.0,Mar 2020,2020,202003,False,False,225.0
69,ABB,727.0,-72.0,-582.0,73.0,Mar 2021,2021,202103,False,False,655.0
70,ABB,948.0,-396.0,-637.0,-86.0,Mar 2022,2022,202203,False,False,552.0
71,ABB,893.0,-148.0,-639.0,107.0,Mar 2023,2023,202303,False,False,745.0
72,ABB,1213.0,-416.0,-745.0,52.0,Mar 2024,2024,202403,False,False,797.0
73,ABB,0.0,0.0,0.0,0.0,Mar 2014,2014,201403,False,False,0.0
74,ABB,-35.0,-1864.0,1902.0,3.0,Mar 2015,2015,201503,False,False,-1899.0
75,ABB,1544.0,-816.0,-722.0,6.0,Mar 2016,2016,201603,False,False,728.0
76,ABB,2189.0,-1730.0,-455.0,4.0,Mar 2017,2017,201703,False,False,459.0
77,ABB,2198.0,-3192.0,1589.0,596.0,Mar 2018,2018,201803,False,False,-994.0
78,ABB,2591.0,-3050.0,38.0,-421.0,Mar 2019,2019,201903,False,False,-459.0
79,ABB,5437.0,-5643.0,1250.0,1045.0,Mar 2020,2020,202003,False,False,-206.0
80,ABB,3784.0,-4009.0,-745.0,-969.0,Mar 2021,2021,202103,False,False,-225.0
81,ABB,4097.0,-3936.0,-235.0,-75.0,Mar 2022,2022,202203,False,False,161.0
82,ABB,3777.0,-4699.0,923.0,2.0,Mar 2023,2023,202303,False,False,-922.0
83,ABB,6038.0,-4943.0,-543.0,551.0,Mar 2024,2024,202403,False,False,1095.0
84,ADANIENSOL,0.0,0.0,0.0,0.0,Mar 2014,2014,201403,False,False,0.0
85,ADANIENSOL,-35.0,-1864.0,1902.0,3.0,Mar 2015,2015,201503,False,False,-1899.0
86,ADANIENSOL,1544.0,-816.0,-722.0,6.0,Mar 2016,2016,201603,False,False,728.0
87,ADANIENSOL,2189.0,-1730.0,-455.0,4.0,Mar 2017,2017,201703,False,False,459.0
88,ADANIENSOL,2198.0,-3192.0,1589.0,596.0,Mar 2018,2018,201803,False,False,-994.0
89,ADANIENSOL,2591.0,-3050.0,38.0,-421.0,Mar 2019,2019,201903,False,False,-459.0
90,ADANIENSOL,5437.0,-5643.0,1250.0,1045.0,Mar 2020,2020,202003,False,False,-206.0
91,ADANIENSOL,3784.0,-4009.0,-745.0,-969.0,Mar 2021,2021,202103,False,False,-225.0
92,ADANIENSOL,4097.0,-3936.0,-235.0,-75.0,Mar 2022,2022,202203,False,False,161.0
93,ADANIENSOL,3777.0,-4699.0,923.0,2.0,Mar 2023,2023,202303,False,False,-922.0
94,ADANIENSOL,6038.0,-4943.0,-543.0,551.0,Mar 2024,2024,202403,False,False,1095.0
95,ADANIENT,7666.0,-14790.0,7199.0,75.0,Mar 2013,2013,201303,False,False,-7124.0
96,ADANIENT,8228.0,-8007.0,-1109.0,-888.0,Mar 2014,2014,201403,False,False,221.0
97,ADANIENT,8532.0,-11465.0,3445.0,512.0,Mar 2015,2015,201503,False,False,-2933.0
98,ADANIENT,5112.0,-1825.0,-3448.0,-161.0,Mar 2016,2016,201603,False,False,3287.0
99,ADANIENT,774.0,-1460.0,716.0,30.0,Mar 2017,2017,201703,False,False,-686.0
100,ADANIENT,2942.0,-7649.0,5120.0,413.0,Mar 2018,2018,201803,False,False,-4707.0
101,ADANIENT,3236.0,2487.0,-6158.0,-436.0,Mar 2019,2019,201903,False,False,5723.0
102,ADANIENT,2454.0,-1082.0,-221.0,1151.0,Mar 2020,2020,202003,False,False,1372.0
103,ADANIENT,4043.0,-8611.0,3109.0,-1459.0,Mar 2021,2021,202103,False,False,-4568.0
104,ADANIENT,1385.0,-17041.0,15901.0,246.0,Mar 2022,2022,202203,False,False,-15656.0
105,ADANIENT,17626.0,-15459.0,-1198.0,970.0,Mar 2023,2023,202303,False,False,2167.0
106,ADANIENT,10312.0,-18767.0,8879.0,424.0,Mar 2024,2024,202403,False,False,-8455.0
107,ADANIGREEN,28.0,-1511.0,1559.0,76.0,Mar 2017,2017,201703,False,False,-1483.0
108,ADANIGREEN,649.0,-4428.0,3942.0,162.0,Mar 2018,2018,201803,False,False,-3779.0
109,ADANIGREEN,1625.0,-2666.0,1045.0,3.0,Mar 2019,2019,201903,False,False,-1041.0
110,ADANIGREEN,1965.0,-3743.0,2161.0,383.0,Mar 2020,2020,202003,False,False,-1778.0
111,ADANIGREEN,1601.0,-9137.0,7083.0,-453.0,Mar 2021,2021,202103,False,False,-7536.0
112,ADANIGREEN,3127.0,-18730.0,15986.0,383.0,Mar 2022,2022,202203,False,False,-15603.0
113,ADANIGREEN,7265.0,-3857.0,-2973.0,435.0,Mar 2023,2023,202303,False,False,3408.0
114,ADANIGREEN,7713.0,-21060.0,13953.0,606.0,Mar 2024,2024,202403,False,False,-13347.0
115,ADANIPORTS,1379.0,-5136.0,4138.0,381.0,Mar 2013,2013,201303,False,False,-3757.0
116,ADANIPORTS,1132.0,-2510.0,772.0,-606.0,Mar 2014,2014,201403,False,False,-1378.0
117,ADANIPORTS,3057.0,-2485.0,-237.0,335.0,Mar 2015,2015,201503,False,False,572.0
