symbol,sector
ADANIENT,Infrastructure
ADANIGREEN,Power
ADANIPORTS,Infrastructure
ADANIPOWER,Power
AMBUJACEM,Cement
APOLLOHOSP,Healthcare
ASIANPAINT,Paints
ATGL,Energy
AXISBANK,Banking
BAJAJ-AUTO,Auto
BAJAJFINSV,NBFC
BAJAJHLDNG,Holding Company
BAJFINANCE,NBFC
BANKBARODA,Banking
BEL,Other
BHARTIARTL,Telecom
BHEL,Industrials
BOSCHLTD,Other
BPCL,Energy
BRITANNIA,FMCG
CANBK,Banking
CHOLAFIN,NBFC
CIPLA,Pharma
COALINDIA,Metals
DABUR,FMCG
DIVISLAB,Pharma
DLF,Real Estate
DMART,Retail
DRREDDY,Pharma
EICHERMOT,Auto
GAIL,Energy
GODREJCP,FMCG
GRASIM,Other
HAL,Other
HAVELLS,Industrials
HCLTECH,IT
HDFCBANK,Banking
HDFCLIFE,Insurance
HEROMOTOCO,Auto
HINDALCO,Metals
HINDUNILVR,FMCG
ICICIBANK,Banking
ICICIGI,Insurance
ICICIPRULI,Insurance
INDIGO,Other
INDUSINDBK,Banking
INFY,IT
IOC,Energy
IRCTC,Other
IRFC,Other
ITC,FMCG
JINDALSTEL,Other
JIOFIN,Other
JSWENERGY,Other
JSWSTEEL,Metals
KOTAKBANK,Banking
LICI,Other
LODHA,Other
LT,Infrastructure
LTIM,IT
M&M,Auto
MARUTI,Auto
MOTHERSON,Other
NAUKRI,Other
NESTLEIND,FMCG
NHPC,Other
NTPC,Power
ONGC,Energy
PFC,NBFC
PIDILITIND,Other
PNB,Banking
POWERGRID,Power
RECLTD,NBFC
RELIANCE,Energy
SBILIFE,Insurance
SBIN,Banking
SHREECEM,Cement
SHRIRAMFIN,Other
SIEMENS,Industrials
SUNPHARMA,Pharma
TATACONSUM,Other
TATAMOTORS,Auto
TATAPOWER,Power
TATASTEEL,Metals
TCS,IT
TECHM,IT
TITAN,Other
TORNTPHARM,Pharma
TRENT,Retail
TVSMOTOR,Auto
