symbol,peer_rank,peer_symbol,similarity_score
ABB,1,DABUR,0.9553
ABB,2,BOSCHLTD,0.9126
ABB,3,LTIM,0.9081
ABB,4,AMBUJACEM,0.9036
ABB,5,TECHM,0.8898
ADANIENSOL,1,LODHA,0.9548
ADANIENSOL,2,ADANIENT,0.9308
ADANIENSOL,3,TATAPOWER,0.9192
ADANIENSOL,4,ADANIGREEN,0.9007
ADANIENSOL,5,UNITDSPR,0.8789
ADANIENT,1,ADANIENSOL,0.9308
ADANIENT,2,LODHA,0.9107
ADANIENT,3,GRASIM,0.8971
ADANIENT,4,TATAPOWER,0.8967
ADANIENT,5,ADANIGREEN,0.8841
ADANIGREEN,1,AXISBANK,0.9375
ADANIGREEN,2,INDUSINDBK,0.9264
ADANIGREEN,3,ADANIENSOL,0.9007
ADANIGREEN,4,ADANIENT,0.8841
ADANIGREEN,5,LODHA,0.8829
ADANIPORTS,1,JINDALSTEL,0.761
ADANIPORTS,2,ADANIENSOL,0.7355
ADANIPORTS,3,UNITDSPR,0.7281
ADANIPORTS,4,VBL,0.7196
ADANIPORTS,5,TATACONSUM,0.7179
ADANIPOWER,1,TATAMOTORS,0.7655
ADANIPOWER,2,NESTLEIND,0.6258
ADANIPOWER,3,LICI,0.5612
ADANIPOWER,4,TITAN,0.5337
ADANIPOWER,5,UNIONBANK,0.5033
AGTL,1,APOLLOHOSP,0.8785
AGTL,2,VBL,0.7756
AGTL,3,JSWENERGY,0.7491
AGTL,4,ZYDUSLIFE,0.7256
AGTL,5,GODREJCP,0.6739
AMBUJACEM,1,TECHM,0.9759
AMBUJACEM,2,GAIL,0.9391
AMBUJACEM,3,DLF,0.9309
AMBUJACEM,4,DABUR,0.9037
AMBUJACEM,5,ABB,0.9036
APOLLOHOSP,1,BHEL,0.8811
APOLLOHOSP,2,AGTL,0.8785
APOLLOHOSP,3,JSWENERGY,0.8117
APOLLOHOSP,4,GODREJCP,0.7613
APOLLOHOSP,5,DLF,0.7529
ASIANPAINT,1,LTIM,0.9234
ASIANPAINT,2,BRITANNIA,0.8439
ASIANPAINT,3,DABUR,0.838
ASIANPAINT,4,IRCTC,0.8366
ASIANPAINT,5,ITC,0.8158
ATGL,1,TATACONSUM,0.9174
ATGL,2,TRENT,0.9044
ATGL,3,DMART,0.8934
ATGL,4,ULTRACEMCO,0.8523
ATGL,5,VBL,0.8311
AXISBANK,1,ADANIGREEN,0.9375
AXISBANK,2,INDUSINDBK,0.8605
AXISBANK,3,SHRIRAMFIN,0.7862
AXISBANK,4,BANKBARODA,0.7719
AXISBANK,5,ADANIENT,0.7715
BAJAJ-AUTO,1,DIVISLAB,0.8411
BAJAJ-AUTO,2,EICHERMOT,0.6072
BAJAJ-AUTO,3,BAJFINANCE,0.5849
BAJAJ-AUTO,4,BEL,0.5555
BAJAJ-AUTO,5,INFY,0.4555
BAJAJFINSV,1,SHRIRAMFIN,0.9521
BAJAJFINSV,2,IRFC,0.9427
BAJAJFINSV,3,PFC,0.9287
BAJAJFINSV,4,RECLTD,0.912
BAJAJFINSV,5,AXISBANK,0.7111
BAJAJHLDNG,1,NAUKRI,0.538
BAJAJHLDNG,2,JIOFIN,0.5107
BAJAJHLDNG,3,ADANIPORTS,0.3657
BAJAJHLDNG,4,NHPC,0.2243
BAJAJHLDNG,5,DIVISLAB,0.217
BAJFINANCE,1,CHOLAFIN,0.9041
BAJFINANCE,2,PFC,0.6313
BAJFINANCE,3,IRFC,0.6263
BAJFINANCE,4,RECLTD,0.5993
BAJFINANCE,5,BAJAJFINSV,0.5933
BANKBARODA,1,UNIONBANK,0.9223
BANKBARODA,2,CANBK,0.9183
BANKBARODA,3,INDUSINDBK,0.8801
BANKBARODA,4,PNB,0.8537
BANKBARODA,5,ADANIGREEN,0.8308
BEL,1,IRCTC,0.6275
BEL,2,BRITANNIA,0.6073
BEL,3,NESTLEIND,0.5708
BEL,4,BAJAJ-AUTO,0.5555
BEL,5,CHOLAFIN,0.5242
BHARTIARTL,1,POWERGRID,0.9516
BHARTIARTL,2,NTPC,0.9466
BHARTIARTL,3,ONGC,0.8663
BHARTIARTL,4,VEDL,0.8013
BHARTIARTL,5,SBIN,0.7206
BHEL,1,DLF,0.8835
BHEL,2,APOLLOHOSP,0.8811
BHEL,3,JSWENERGY,0.8562
BHEL,4,GODREJCP,0.8437
BHEL,5,AMBUJACEM,0.7518
BOSCHLTD,1,ABB,0.9126
BOSCHLTD,2,PIDILITIND,0.8972
BOSCHLTD,3,DABUR,0.8713
BOSCHLTD,4,LTIM,0.871
BOSCHLTD,5,AMBUJACEM,0.8461
BPCL,1,NESTLEIND,0.8146
BPCL,2,BRITANNIA,0.7911
BPCL,3,IRCTC,0.7232
BPCL,4,VEDL,0.6333
BPCL,5,POWERGRID,0.6113
BRITANNIA,1,IRCTC,0.9816
BRITANNIA,2,NESTLEIND,0.9506
BRITANNIA,3,ASIANPAINT,0.8439
BRITANNIA,4,TITAN,0.8109
BRITANNIA,5,BPCL,0.7911
CANBK,1,BANKBARODA,0.9183
CANBK,2,KOTAKBANK,0.8603
CANBK,3,UNIONBANK,0.7792
CANBK,4,ICICIBANK,0.7393
CANBK,5,PNB,0.7
CHOLAFIN,1,BAJFINANCE,0.9041
CHOLAFIN,2,ICICIGI,0.712
CHOLAFIN,3,BAJAJFINSV,0.6769
CHOLAFIN,4,SHRIRAMFIN,0.6649
CHOLAFIN,5,IRFC,0.644
CIPLA,1,SHREECEM,0.8393
CIPLA,2,DRREDDY,0.8201
CIPLA,3,DMART,0.8163
CIPLA,4,MARUTI,0.7757
CIPLA,5,SUNPHARMA,0.7704
COALINDIA,1,HINDUNILVR,0.8151
COALINDIA,2,INDIGO,0.6684
COALINDIA,3,HINDALCO,0.6356
COALINDIA,4,HEROMOTOCO,0.6229
COALINDIA,5,BPCL,0.5116
DABUR,1,ABB,0.9553
DABUR,2,HAVELLS,0.9409
DABUR,3,LTIM,0.9311
DABUR,4,PIDILITIND,0.9119
DABUR,5,AMBUJACEM,0.9037
DIVISLAB,1,EICHERMOT,0.8537
DIVISLAB,2,BAJAJ-AUTO,0.8411
DIVISLAB,3,BOSCHLTD,0.7731
DIVISLAB,4,HAL,0.5971
DIVISLAB,5,JIOFIN,0.5952
DLF,1,TECHM,0.9437
DLF,2,AMBUJACEM,0.9309
DLF,3,BHEL,0.8835
DLF,4,NHPC,0.8652
DLF,5,GAIL,0.8432
DMART,1,SHREECEM,0.9216
DMART,2,ZOMATO,0.9213
DMART,3,ZYDUSLIFE,0.897
DMART,4,ATGL,0.8934
DMART,5,DRREDDY,0.8882
